Model,Count,Year,Month,ID,Mærke,Producent,Producent_nationalitet,Drivmiddel,CO2_Type,Segment
Volvo XC60,1028.0,2023,FY,1275.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Hyundai Tucson,1013.0,2023,FY,1241.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,SUV/Crossover
Volkswagen ID.5,999.0,2023,FY,1053.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Volkswagen Taigo,981.0,2023,FY,1328.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
BMW iX1,977.0,2023,FY,1009.0,BMW,BMW Group,Tyskland,El,Nul-emission,SUV/Crossover
Kia Niro,968.0,2023,FY,1244.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Nissan Ariya,966.0,2023,FY,1070.0,Nissan,Nissan Motor Co.,Japan,Benzin,Fossil,Personbil
Toyota bZ4X,936.0,2023,FY,1000.0,Toyota,Toyota Motor Corporation,Japan,El,Nul-emission,Personbil
Hyundai Ioniq 5,933.0,2023,FY,1050.0,Hyundai,Hyundai Motor Group,Sydkorea,El,Nul-emission,Personbil
Mercedes-Benz A-Klasse,919.0,2023,FY,1123.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz E-Klasse,893.0,2023,FY,1128.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
BMW iX3,886.0,2023,FY,1224.0,BMW,BMW Group,Tyskland,El,Nul-emission,SUV/Crossover
Seat Ibiza,859.0,2023,FY,1073.0,Seat,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz EQB,856.0,2023,FY,1027.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,Personbil
Suzuki Vitara,837.0,2023,FY,1029.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Citroen C4,837.0,2023,FY,1227.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Kia EV6,817.0,2023,FY,1069.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Toyota Corolla,802.0,2023,FY,1180.0,Toyota,Toyota Motor Corporation,Japan,Hybrid,Lav-emission,Personbil
Renault Captur,801.0,2023,FY,1266.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
BMW 1'er,789.0,2023,FY,1067.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz CLA,780.0,2023,FY,1022.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Volkswagen Touran,780.0,2023,FY,1182.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz EQE,755.0,2023,FY,1074.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,Personbil
Kia Sportage,753.0,2023,FY,1247.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,SUV/Crossover
MG 4,739.0,2023,FY,1037.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Suzuki Ignis,737.0,2023,FY,1268.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,Personbil
Skoda Kodiaq,729.0,2023,FY,1047.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
BMW X1,728.0,2023,FY,1013.0,BMW,BMW Group,Tyskland,Benzin,Fossil,SUV/Crossover
Opel Crossland,712.0,2023,FY,1260.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Volkswagen Passat,710.0,2023,FY,1125.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Opel Mokka,705.0,2023,FY,1261.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Seat Arona,701.0,2023,FY,1177.0,Seat,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Skoda Scala,688.0,2023,FY,1130.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Mazda CX-5,678.0,2023,FY,1311.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Toyota RAV4,673.0,2023,FY,1273.0,Toyota,Toyota Motor Corporation,Japan,Hybrid,Lav-emission,SUV/Crossover
Mazda CX-60,643.0,2023,FY,1255.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
