Model,Count,Year,Month,ID,Mærke,Producent,Producent_nationalitet,Drivmiddel,CO2_Type,Segment
Exlantix ET,1,2026,M05,1132.0,Exlantix,Chery Group,Kina,El,Nul-emission,Personbil
Ferrari 12Cilindri,1,2026,M05,,Ferrari,Ferrari,Italien,Benzin,Fossil,Personbil
Ferrari Amalfi,1,2026,M05,,Ferrari,Ferrari S.p.A.,Italien,Benzin,Fossil,Personbil
Ford Mustang,1,2026,M05,1378.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
Ford Transit Custom,1,2026,M05,1192.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Varebil/MPV
Goes Terrox 1000,1,2026,M05,,Goes,Goes,Ukendt,Benzin,Fossil,ATV/UTV/Andet
Linhai LH80DA,1,2026,M05,1334.0,Linhai,"Zhejiang Linhai Power Machinery Group Co., Ltd.",Ukendt,Benzin,Fossil,ATV/UTV/Andet
Lotus Eletre,1,2026,M05,1254.0,Lotus,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Lynk & Co 02,1,2026,M05,1143.0,Lynk & Co,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
MAN TGE,1,2026,M05,1197.0,MAN,TRATON (Volkswagen Group),Tyskland,Benzin,Fossil,Varebil/MPV
Mazda 3,1,2026,M05,1154.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,Personbil
Mazda CX-80,1,2026,M05,1168.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Mercedes-Benz AMG GT,1,2026,M05,1312.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz S-Klasse,1,2026,M05,1201.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz Vito,1,2026,M05,1156.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Varebil/MPV
Odes Workcross 1000-3,1,2026,M05,,Odes,ODES,Ukendt,Benzin,Fossil,ATV/UTV/Andet
Opel Mokka,1,2026,M05,1261.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Opel Vivaro,1,2026,M05,1416.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,Varebil/MPV
Peugeot 308,1,2026,M05,1206.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Today Sunshine,1,2026,M05,1158.0,Today Sunshine,Today Sunshine,Ukendt,Benzin,Fossil,Personbil
Toyota Proace,1,2026,M05,1215.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,Varebil/MPV
Volkswagen Crafter,1,2026,M05,1218.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Varebil/MPV
Volkswagen Golf,1,2026,M05,1219.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Volkswagen Multivan,1,2026,M05,1274.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Varebil/MPV
Volkswagen up!,1,2026,M05,1445.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Yunlong JJ5000BU,1,2026,M05,,Yunlong,Shandong Yunlong Eco Technologies,Kina,El,Nul-emission,ATV/UTV/Andet
Tesla Model Y,674,2025,M05,1002.0,Tesla,"Tesla, Inc.",USA,El,Nul-emission,Personbil
Skoda Enyaq iV,262,2025,M05,1006.0,Skoda,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Skoda Elroq,1457,2025,M05,1001.0,Skoda,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Tesla Model 3,66,2025,M05,1179.0,Tesla,"Tesla, Inc.",USA,El,Nul-emission,Personbil
Xpeng G6,245,2025,M05,1015.0,Xpeng,XPeng,Kina,El,Nul-emission,Personbil
Volkswagen ID.4,822,2025,M05,1005.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Audi Q4 e-tron,387,2025,M05,1003.0,Audi,Volkswagen Group,Tyskland,El,Nul-emission,SUV/Crossover
Toyota bZ4X,175,2025,M05,1000.0,Toyota,Toyota Motor Corporation,Japan,El,Nul-emission,Personbil
Volkswagen ID. Buzz,311,2025,M05,1010.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Mercedes-Benz GLB,67,2025,M05,1088.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Renault R5,461,2025,M05,1008.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
BMW iX1,267,2025,M05,1009.0,BMW,BMW Group,Tyskland,El,Nul-emission,SUV/Crossover
Mercedes-Benz EQA,243,2025,M05,1026.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,Personbil
Volkswagen T-Roc,661,2025,M05,1080.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Cupra Born,139,2025,M05,1007.0,Cupra,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Mercedes-Benz CLA,43,2025,M05,1022.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Toyota Yaris Cross,289,2025,M05,1020.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Audi Q2,130,2025,M05,1071.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
MG 4,108,2025,M05,1037.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Cupra Tavascan,107,2025,M05,1065.0,Cupra,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
BMW X1,276,2025,M05,1013.0,BMW,BMW Group,Tyskland,Benzin,Fossil,SUV/Crossover
Zeekr 7X,2,2025,M05,1028.0,Zeekr,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
Polestar 4,105,2025,M05,1048.0,Polestar,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
Renault Scenic,181,2025,M05,1021.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
Cupra Formentor,312,2025,M05,1062.0,Cupra,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Suzuki Vitara,59,2025,M05,1029.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Volkswagen ID.7,186,2025,M05,1017.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Audi Q6 e-tron,145,2025,M05,1160.0,Audi,Volkswagen Group,Tyskland,El,Nul-emission,SUV/Crossover
Hyundai Ioniq 5,189,2025,M05,1050.0,Hyundai,Hyundai Motor Group,Sydkorea,El,Nul-emission,Personbil
Peugeot 2008,112,2025,M05,1030.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Mercedes-Benz GLC,84,2025,M05,1076.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Renault Austral,49,2025,M05,1025.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
Citroen C3 Aircross,50,2025,M05,1014.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Renault Megane E-Tech,81,2025,M05,1041.0,Renault,Renault Group,Frankrig,El,Nul-emission,Personbil
Volvo EX40,96,2025,M05,1018.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,SUV/Crossover
Volkswagen ID.3,512,2025,M05,1011.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Ford Explorer,167,2025,M05,1023.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
Hyundai Kona,104,2025,M05,1043.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,SUV/Crossover
Audi A6 e-tron,172,2025,M05,1038.0,Audi,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Renault Captur,109,2025,M05,1266.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
Seat Ibiza,67,2025,M05,1073.0,Seat,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Peugeot 208,67,2025,M05,1024.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Volvo EX30,104,2025,M05,1056.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,SUV/Crossover
BMW 5'er,116,2025,M05,1063.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
MG S5,8,2025,M05,1046.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
BMW i4,73,2025,M05,1045.0,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
Cupra Leon,203,2025,M05,1100.0,Cupra,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
BYD Sealion 7,47,2025,M05,1096.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
BMW 3'er,354,2025,M05,1051.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
Toyota Yaris,170,2025,M05,1057.0,Toyota,Toyota Motor Corporation,Japan,Hybrid,Lav-emission,Personbil
Xpeng G9,51,2025,M05,1068.0,Xpeng,XPeng,Kina,El,Nul-emission,Personbil
Mazda CX-30,13,2025,M05,1084.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Skoda Kodiaq,38,2025,M05,1047.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Peugeot 5008,104,2025,M05,1039.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Opel Frontera,39,2025,M05,1077.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Suzuki Swift,170,2025,M05,1034.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,Personbil
Kia EV6,181,2025,M05,1069.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Audi A3,149,2025,M05,1064.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Nissan Qashqai,147,2025,M05,1035.0,Nissan,Nissan Motor Co.,Japan,Benzin,Fossil,SUV/Crossover
Peugeot 3008,77,2025,M05,1036.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Mercedes-Benz EQE,77,2025,M05,1074.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,Personbil
Mercedes-Benz A-Klasse,75,2025,M05,1123.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Ford Tourneo Custom,40,2025,M05,1082.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Varebil/MPV
BYD Seal U,43,2025,M05,1104.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Ford Capri,61,2025,M05,1052.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
BMW i5,161,2025,M05,1049.0,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
Volkswagen Touran,90,2025,M05,1182.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Navor E5,119,2025,M05,1078.0,Navor,DFSK Motor,Kina,Benzin,Fossil,Personbil
Toyota Aygo X,222,2025,M05,1042.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,Personbil
Volkswagen ID.5,92,2025,M05,1053.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Hyundai Ioniq 6,54,2025,M05,1133.0,Hyundai,Hyundai Motor Group,Sydkorea,El,Nul-emission,Personbil
Seat Arona,6,2025,M05,1177.0,Seat,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Audi Q3,2,2025,M05,1099.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
MG 3,10,2025,M05,1172.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Dacia Bigster,16,2025,M05,1278.0,Dacia,Renault Group,Frankrig,Benzin,Fossil,Personbil
MG ZS,112,2025,M05,1040.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Mercedes-Benz C-Klasse,55,2025,M05,1098.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz GLA,33,2025,M05,1090.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Volkswagen Passat,46,2025,M05,1125.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Hyundai Inster,131,2025,M05,1061.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
BMW X3,8,2025,M05,1141.0,BMW,BMW Group,Tyskland,Benzin,Fossil,SUV/Crossover
Opel Grandland,55,2025,M05,1072.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
BYD Dolphin Surf,12,2025,M05,1095.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Nissan Ariya,114,2025,M05,1070.0,Nissan,Nissan Motor Co.,Japan,Benzin,Fossil,Personbil
BMW iX2,33,2025,M05,1087.0,BMW,BMW Group,Tyskland,El,Nul-emission,SUV/Crossover
Mini Aceman,20,2025,M05,1079.0,Mini,BMW Group,Tyskland,El,Nul-emission,Personbil
Cupra Terramar,275,2025,M05,1044.0,Cupra,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Ford Puma,62,2025,M05,1054.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
BMW 1'er,25,2025,M05,1067.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
Polestar 2,81,2025,M05,1097.0,Polestar,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
BYD Atto 2,3,2025,M05,1106.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Mini 3-dørs,33,2025,M05,1083.0,Mini,BMW Group,Tyskland,Benzin,Fossil,Personbil
Citroen C3,127,2025,M05,1012.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Dacia Sandero,26,2025,M05,1231.0,Dacia,Renault Group,Frankrig,Benzin,Fossil,Personbil
BMW iX3,4,2025,M05,1224.0,BMW,BMW Group,Tyskland,El,Nul-emission,SUV/Crossover
BYD Tang,10,2025,M05,1126.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Kia EV9,11,2025,M05,1058.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
BYD Dolphin,24,2025,M05,1187.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
BYD Seal,27,2025,M05,1107.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Lexus RZ,9,2025,M05,1075.0,Lexus,Toyota Motor Corporation,Japan,Benzin,Fossil,Personbil
BMW iX,25,2025,M05,1089.0,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
Subaru Solterra,11,2025,M05,1113.0,Subaru,Subaru Corporation,Japan,Benzin,Fossil,Personbil
Toyota Corolla Cross,212,2025,M05,1124.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Mercedes-Benz EQB,267,2025,M05,1027.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,Personbil
Ford Transit,3,2025,M05,1091.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Varebil/MPV
Kia EV3,407,2025,M05,1033.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Porsche Macan,57,2025,M05,1119.0,Porsche,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Renault Clio,66,2025,M05,1111.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
Skoda Kamiq,81,2025,M05,1112.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Volvo EC40,20,2025,M05,1093.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Volvo EX90,36,2025,M05,1081.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Audi A5,441,2025,M05,1115.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Honda e:Ny1,10,2025,M05,1086.0,Honda,Honda Motor Co.,Japan,El,Nul-emission,Personbil
Dacia Duster,32,2025,M05,1229.0,Dacia,Renault Group,Frankrig,Benzin,Fossil,Personbil
Mini Countryman,28,2025,M05,1102.0,Mini,BMW Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz Sprinter,38,2025,M05,1134.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Varebil/MPV
Mercedes-Benz E-Klasse,28,2025,M05,1128.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Volkswagen Polo,68,2025,M05,1140.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Zeekr X,1,2025,M05,1114.0,Zeekr,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
BMW 4'er,76,2025,M05,1185.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
Kia Niro,13,2025,M05,1244.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Skoda Scala,23,2025,M05,1130.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Suzuki SX4,50,2025,M05,1131.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Ford Mustang Mach-E,45,2025,M05,1147.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
Skoda Fabia,31,2025,M05,1211.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Dacia Jogger,12,2025,M05,1230.0,Dacia,Renault Group,Frankrig,Benzin,Fossil,Personbil
KGM Torres EVX,1,2025,M05,1108.0,KGM,KG Mobility (tidl. SsangYong),Sydkorea,El,Nul-emission,SUV/Crossover
Skoda Superb,5,2025,M05,1139.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz EQE SUV,44,2025,M05,1110.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,SUV/Crossover
Mercedes-Benz GLE,7,2025,M05,1144.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Volvo V90,2,2025,M05,1220.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Honda CR-V,18,2025,M05,1127.0,Honda,Honda Motor Co.,Japan,Hybrid,Lav-emission,Personbil
Land Rover Range Rover Sport,12,2025,M05,1196.0,Land Rover,Jaguar Land Rover (Tata Motors),Indien,Benzin,Fossil,SUV/Crossover
Mercedes-Benz G-Klasse,4,2025,M05,1170.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Porsche 911,10,2025,M05,1264.0,Porsche,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Volkswagen T-Cross,4,2025,M05,1181.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Ford Kuga,33,2025,M05,1060.0,Ford,Ford Motor Company,USA,Hybrid,Lav-emission,Personbil
Mercedes-Benz CLE,6,2025,M05,1257.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz Vito Tourer,13,2025,M05,1092.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Varebil/MPV
Mercedes-Benz EQV,11,2025,M05,1155.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,Personbil
Mercedes-Benz V-Klasse,5,2025,M05,1171.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Citroen Berlingo,2,2025,M05,1117.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,Varebil/MPV
Honda Civic,5,2025,M05,1163.0,Honda,Honda Motor Co.,Japan,Hybrid,Lav-emission,Personbil
Mazda 2,88,2025,M05,1153.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,Personbil
Toyota Proace Verso,32,2025,M05,1135.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,Varebil/MPV
Honda Jazz,4,2025,M05,1150.0,Honda,Honda Motor Co.,Japan,Benzin,Fossil,Personbil
Hongqi EHS7,13,2025,M05,1138.0,Hongqi,FAW (Hongqi),Kina,El,Nul-emission,Personbil
Skoda Octavia,32,2025,M05,1157.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Toyota Land Cruiser,1,2025,M05,1272.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Volkswagen Tiguan,65,2025,M05,1145.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Hyundai Bayon,41,2025,M05,1151.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
JAC E30X,6,2025,M05,1195.0,JAC,JAC Motors,Kina,Benzin,Fossil,Personbil
Maserati Grecale,2,2025,M05,1152.0,Maserati,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
MG HS,13,2025,M05,1109.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Nissan Juke,17,2025,M05,1103.0,Nissan,Nissan Motor Co.,Japan,Benzin,Fossil,SUV/Crossover
Renault Trafic,4,2025,M05,1176.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Varebil/MPV
BMW i7,18,2025,M05,1146.0,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
BMW i7,18,2025,M05,,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
Honda HR-V,3,2025,M05,1149.0,Honda,Honda Motor Co.,Japan,Benzin,Fossil,Personbil
Honda ZR-V,6,2025,M05,1193.0,Honda,Honda Motor Co.,Japan,Benzin,Fossil,Personbil
MG Cyberster,26,2025,M05,1173.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Polestar 3,12,2025,M05,1263.0,Polestar,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
Skoda Karoq,17,2025,M05,1094.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Volkswagen Caddy,7,2025,M05,1216.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Varebil/MPV
Volkswagen Caravelle,22,2025,M05,1217.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Varebil/MPV
Yunlong JJ2000DBP,2,2025,M05,1277.0,Yunlong,MG,Kina,Benzin,Fossil,Personbil
BMW X5,10,2025,M05,1186.0,BMW,BMW Group,Tyskland,Benzin,Fossil,SUV/Crossover
Ford Mustang,1,2025,M05,1378.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
Ford Transit Custom,20,2025,M05,1192.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Varebil/MPV
Lotus Eletre,1,2025,M05,1254.0,Lotus,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
MAN TGE,1,2025,M05,1197.0,MAN,TRATON (Volkswagen Group),Tyskland,Benzin,Fossil,Varebil/MPV
Mazda 3,10,2025,M05,1154.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,Personbil
Mazda CX-80,9,2025,M05,1168.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Mercedes-Benz AMG GT,2,2025,M05,1312.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz S-Klasse,1,2025,M05,1201.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Opel Mokka,1,2025,M05,1261.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Peugeot 308,7,2025,M05,1206.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Volkswagen Crafter,4,2025,M05,1218.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Varebil/MPV
Volkswagen Multivan,32,2025,M05,1274.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Varebil/MPV
Access SP450,1,2025,M05,,Access,Access Motor,Taiwan,Benzin,Fossil,ATV/UTV/Andet
Agile SCX,1,2025,M05,,Agile,Agile Automotive ApS,Danmark,Benzin,Fossil,Personbil
Alfa Romeo Junior,13,2025,M05,1221.0,Alfa Romeo,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Audi Q7,1,2025,M05,1293.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Audi Q8,1,2025,M05,1281.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Audi Q8 e-tron,1,2025,M05,1357.0,Audi,Volkswagen Group,Tyskland,El,Nul-emission,SUV/Crossover
Bentley Continental,1,2025,M05,1352.0,Bentley,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
BMW X4,3,2025,M05,1296.0,BMW,BMW Group,Tyskland,Benzin,Fossil,SUV/Crossover
BMW X7,1,2025,M05,1297.0,BMW,BMW Group,Tyskland,Benzin,Fossil,SUV/Crossover
BYD Atto 3,11,2025,M05,1161.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Citroen e-SpaceTourer,1,2025,M05,1228.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Dodge Challenger,1,2025,M05,,Dodge,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Eagle,1,2025,M05,1301.0,Eagle,"Eagle Golf Cars, LLC",USA,El,Nul-emission,Personbil
Eagle Golf Car,1,2025,M05,1188.0,Eagle,"Eagle Golf Cars, LLC",USA,EL,Nul-emission,ATV/UTV/Andet
Ford Focus,8,2025,M05,1162.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
Ford Tourneo Connect,1,2025,M05,1234.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Varebil/MPV
Goes Terrox 500,1,2025,M05,,Goes,Goes,Ukendt,Benzin,Fossil,Personbil
Harley Davidson FLRT,1,2025,M05,1403.0,Harley Davidson,Harley Davidson,USA,Benzin,Fossil,ATV/UTV/Andet
HDK Turfmann 700,48,2025,M05,1379.0,HDK,HDK Automotive,Kina,El,Nul-emission,ATV/UTV/Andet
Hisun HS5DUTV-2,3,2025,M05,1148.0,Hisun,"Chongqing Huansong Industrial (Group) Co., Ltd.",Kina,Benzin,Fossil,ATV/UTV/Andet
Hongqi E-HS9,1,2025,M05,1236.0,Hongqi,FAW (Hongqi),Kina,El,Nul-emission,Personbil
Hongqi EH7,2,2025,M05,1194.0,Hongqi,FAW (Hongqi),Kina,El,Nul-emission,Personbil
Hyundai I10,13,2025,M05,1237.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Hyundai I20,36,2025,M05,1238.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Hyundai I30,18,2025,M05,1239.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Hyundai Santa Fe,2,2025,M05,1240.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,SUV/Crossover
Hyundai Tucson,55,2025,M05,1241.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,SUV/Crossover
Jeep Avenger,2,2025,M05,1242.0,Jeep,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Kia Ceed,11,2025,M05,1243.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Kia Picanto,8,2025,M05,1245.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Kia Sportage,1,2025,M05,1247.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,SUV/Crossover
